ID,German,Bulgarian,Part of Speech,Difficulty,Gender,Plural,Examples,Categories,Status,Notes
a1_month_003,"März","Март",phrase,1,,,3,time,unreviewed,
a1_month_004,"April","Април",phrase,1,,,3,time,unreviewed,
a1_month_005,"Mai","Май",phrase,1,,,3,time,unreviewed,
a1_month_006,"Juni","Юни",phrase,1,,,3,time,unreviewed,
a1_month_007,"Juli","Юли",phrase,1,,,3,time,unreviewed,
a1_month_008,"August","Август",phrase,1,,,3,time,unreviewed,
a1_month_009,"September","Септември",phrase,1,,,3,time,unreviewed,
a1_month_010,"Oktober","Октомври",phrase,1,,,3,time,unreviewed,
a1_month_011,"November","Ноември",phrase,1,,,3,time,unreviewed,
a1_month_012,"Dezember","Декември",phrase,1,,,3,time,unreviewed,
