ID,German,Bulgarian,Part of Speech,Difficulty,Gender,Plural,Examples,Categories,Status,Notes
horen,"hören","Чувам",verb,2,,,0,everyday-phrases,unreviewed,
schon,"schön","Красив",adjective,1,,,0,everyday-phrases,unreviewed,
dann,"dann","Тогава",adverb,1,,,0,everyday-phrases,unreviewed,
selten,"selten","Редко",adverb,1,,,0,everyday-phrases,unreviewed,
schlecht_01,"schlecht","Зле",adverb,1,,,0,everyday-phrases,unreviewed,
tisch,"Tisch","Маса",noun,2,,,0,home,unreviewed,
stuhl,"Stuhl","Стол",noun,2,,,0,home,unreviewed,
kuche,"Küche","Кухня",noun,2,,,0,food;home,unreviewed,
wohnung,"Wohnung","Апартамент",noun,2,,,0,home,unreviewed,
auto,"Auto","Автомобил",noun,2,,,0,transport,unreviewed,
