ID,German,Bulgarian,Part of Speech,Difficulty,Gender,Plural,Examples,Categories,Status,Notes
a1_final_003,"Antwort","Отговор",phrase,1,,,3,everyday-phrases,unreviewed,
a1_final_004,"Frage","Въпрос",phrase,1,,,3,everyday-phrases,unreviewed,
a1_final_005,"Problem","Проблем",phrase,1,,,3,everyday-phrases,unreviewed,
a1_final_006,"Lösung","Решение",phrase,1,,,3,everyday-phrases,unreviewed,
a1_final_007,"Anfang","Начало",phrase,1,,,3,everyday-phrases,unreviewed,
a1_final_008,"Ende","Край",phrase,1,,,3,everyday-phrases,unreviewed,
a1_final_009,"Mitte","Среда",phrase,1,,,3,everyday-phrases,unreviewed,
a1_final_010,"Land/Seite","Страна",phrase,1,,,3,places,unreviewed,
a1_final_011,"Welt","Свят",phrase,1,,,3,everyday-phrases,unreviewed,
a1_final_012,"Erde","Земя",phrase,1,,,3,everyday-phrases,unreviewed,
