ID,German,Bulgarian,Part of Speech,Difficulty,Gender,Plural,Examples,Categories,Status,Notes
a1_question_005,"warum","Защо",pronoun,1,,,3,everyday-phrases,unreviewed,
a1_question_006,"wie","Как",pronoun,1,,,3,everyday-phrases,unreviewed,
a1_question_007,"wie viel, wie viele","Колко",pronoun,1,,,3,everyday-phrases,unreviewed,
a1_question_008,"wessen","Чий",pronoun,2,,,4,everyday-phrases,unreviewed,
a1_question_009,"was für ein, welcher Art","Какъв",pronoun,2,,,4,everyday-phrases,unreviewed,
a1_question_010,"woher","Откъде",pronoun,1,,,3,everyday-phrases,unreviewed,
a1_question_011,"wohin","Накъде",pronoun,1,,,3,everyday-phrases,unreviewed,
a1_question_012,"ob","Дали",pronoun,2,,,3,everyday-phrases,unreviewed,
a1_food_018,"das Gemüse","Зеленчук",noun,1,,,3,food,unreviewed,
a1_food_019,"die Frucht, das Obst","Плод",noun,1,,,3,food,unreviewed,
